Gene stable ID,Brain,Colon,Esophagus,Heart,Kidney,Liver,Pancreas,Stomach,Gene type
ENSG00000000003,5.799691,22.906008,18.107586,3.4142377,15.745596,23.313591,7.128223,10.594314,protein_coding
ENSG00000000005,0.16914554,0.7537477,0.28421533,0.25803864,0.95603096,0.018972334,0.050228942,0.2065833,protein_coding
ENSG00000000419,21.387617,40.514694,43.498722,24.60938,25.236029,22.603436,22.147223,37.47643,protein_coding
ENSG00000000457,2.830432,6.5851917,6.0151153,1.9024025,3.748399,4.0933456,3.0448697,5.2955403,protein_coding
ENSG00000000460,1.3475895,2.2315974,2.198975,0.68976754,0.98888654,1.2401505,0.6994605,1.5960387,protein_coding
ENSG00000000938,5.115242,9.094542,9.044563,5.3665314,6.968542,7.393894,2.9104881,8.042515,protein_coding
ENSG00000000971,3.7720087,18.315853,28.689909,54.564095,10.287676,199.90965,2.8729515,16.362883,protein_coding
ENSG00000001036,11.936454,31.576033,22.964733,18.16568,30.105265,24.06428,18.745176,33.03164,protein_coding
ENSG00000001084,10.6684885,18.914995,21.850657,4.286869,7.5879574,23.261522,6.2287316,18.729752,protein_coding
ENSG00000001167,11.078234,10.240786,10.754413,5.289579,7.796001,6.3009477,5.8911133,10.038259,protein_coding
ENSG00000001460,4.2614236,2.8490171,2.6056964,0.9333729,2.414907,0.4615268,1.0277807,1.7831035,protein_coding
ENSG00000001461,27.993664,9.010524,6.097621,3.6956658,5.324229,1.1640198,3.9721649,7.040507,protein_coding
ENSG00000001497,27.402088,21.287413,20.752043,6.420577,9.19594,6.0911407,6.7537656,13.685393,protein_coding
ENSG00000001561,16.347681,12.644885,11.827224,9.480109,9.981854,4.3872204,6.1516585,12.146295,protein_coding
ENSG00000001617,4.3843665,13.998668,57.61177,9.048708,32.07603,3.3367958,3.8805993,18.769358,protein_coding
ENSG00000001626,0.21522973,6.6541533,0.13299248,0.04357303,0.9649876,0.6468935,45.950882,0.21643817,protein_coding
ENSG00000001629,17.403978,15.635883,15.02342,6.238774,10.055025,4.8439,7.536495,11.433407,protein_coding
ENSG00000001630,34.51465,29.50767,33.735004,11.304563,20.019903,60.18469,18.138239,32.575634,protein_coding
ENSG00000001631,5.738051,8.978597,9.08726,3.8575668,5.791318,4.2580748,4.749123,7.9934673,protein_coding
ENSG00000002016,8.119782,13.936069,11.239091,4.639311,7.917909,5.2155876,5.0908175,8.398942,protein_coding
ENSG00000002079,0.01032619,0.0075167827,0.012165771,0.005035873,0.022836398,0.0096104825,0.0067669507,0.012042856,
ENSG00000002330,42.776108,44.730667,44.51195,28.036709,33.697384,22.896215,12.683175,42.37091,protein_coding
ENSG00000002549,25.043652,42.468548,40.882328,25.339485,53.196312,49.341347,12.070815,34.044727,protein_coding
ENSG00000002586,61.119358,238.75047,205.40659,118.4875,61.511627,75.75953,76.535614,145.71841,protein_coding
