




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (794)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
absorption of visible light (GO:0016038)	6	4	.23	+	17.28	3.10E-05	3.52E-03
light absorption (GO:0016037)	6	4	.23	+	17.28	3.10E-05	3.49E-03
adenosine 5'-(hexahydrogen pentaphosphate) catabolic process (GO:1901911)	5	3	.19	+	15.55	5.40E-04	3.75E-02
diadenosine hexaphosphate catabolic process (GO:1901909)	5	3	.19	+	15.55	5.40E-04	3.74E-02
diadenosine pentaphosphate catabolic process (GO:1901907)	5	3	.19	+	15.55	5.40E-04	3.72E-02
positive regulation of natural killer cell chemotaxis (GO:2000503)	5	3	.19	+	15.55	5.40E-04	3.70E-02
diphosphoinositol polyphosphate metabolic process (GO:0071543)	5	3	.19	+	15.55	5.40E-04	3.68E-02
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent (GO:0002486)	14	6	.54	+	11.11	7.45E-06	1.15E-03
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway (GO:0002484)	15	6	.58	+	10.37	1.20E-05	1.70E-03
antigen processing and presentation of endogenous peptide antigen via MHC class Ib (GO:0002476)	15	6	.58	+	10.37	1.20E-05	1.68E-03
leukotriene D4 biosynthetic process (GO:1901750)	10	4	.39	+	10.37	3.83E-04	2.93E-02
antigen processing and presentation of peptide antigen via MHC class Ib (GO:0002428)	16	6	.62	+	9.72	1.86E-05	2.35E-03
glutathione catabolic process (GO:0006751)	11	4	.42	+	9.43	5.84E-04	3.93E-02
cytolysis by host of symbiont cells (GO:0051838)	11	4	.42	+	9.43	5.84E-04	3.91E-02
sodium-independent organic anion transport (GO:0043252)	16	5	.62	+	8.10	2.58E-04	2.12E-02
antigen processing and presentation of endogenous peptide antigen (GO:0002483)	23	7	.89	+	7.89	1.77E-05	2.27E-03
antigen processing and presentation via MHC class Ib (GO:0002475)	24	7	.93	+	7.56	2.41E-05	2.85E-03
antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:0019885)	21	6	.81	+	7.41	1.07E-04	9.76E-03
antigen processing and presentation of endogenous antigen (GO:0019883)	30	8	1.16	+	6.91	1.30E-05	1.79E-03
positive regulation of T cell mediated cytotoxicity (GO:0001916)	38	10	1.47	+	6.82	1.22E-06	2.37E-04
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	437	104	16.86	+	6.17	7.57E-53	1.10E-48
sensory perception of smell (GO:0007608)	467	104	18.02	+	5.77	6.82E-50	3.31E-46
detection of chemical stimulus involved in sensory perception (GO:0050907)	485	107	18.71	+	5.72	6.32E-51	4.60E-47
regulation of T cell mediated cytotoxicity (GO:0001914)	48	10	1.85	+	5.40	1.19E-05	1.70E-03
modified amino acid catabolic process (GO:0042219)	34	7	1.31	+	5.34	2.68E-04	2.19E-02
detection of chemical stimulus (GO:0009593)	522	107	20.14	+	5.31	1.21E-47	4.41E-44
natural killer cell mediated cytotoxicity (GO:0042267)	40	8	1.54	+	5.18	1.22E-04	1.09E-02
sensory perception of chemical stimulus (GO:0007606)	548	108	21.14	+	5.11	2.36E-46	6.87E-43
retinol metabolic process (GO:0042572)	56	11	2.16	+	5.09	8.01E-06	1.22E-03
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	36	7	1.39	+	5.04	3.89E-04	2.96E-02
vesicle cargo loading (GO:0035459)	36	7	1.39	+	5.04	3.89E-04	2.94E-02
detection of stimulus involved in sensory perception (GO:0050906)	563	107	21.72	+	4.93	2.40E-44	5.82E-41
positive regulation of T cell mediated immunity (GO:0002711)	72	13	2.78	+	4.68	3.29E-06	5.62E-04
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	134	24	5.17	+	4.64	3.05E-10	1.58E-07
natural killer cell mediated immunity (GO:0002228)	46	8	1.77	+	4.51	3.37E-04	2.63E-02
positive regulation of cytokinesis (GO:0032467)	49	8	1.89	+	4.23	5.25E-04	3.71E-02
detection of stimulus (GO:0051606)	694	113	26.78	+	4.22	5.14E-40	1.07E-36
antigen processing and presentation of peptide antigen (GO:0048002)	69	11	2.66	+	4.13	6.21E-05	6.41E-03
positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	69	10	2.66	+	3.76	2.99E-04	2.41E-02
disruption of anatomical structure in another organism (GO:0141060)	125	18	4.82	+	3.73	1.47E-06	2.78E-04
granulocyte chemotaxis (GO:0071621)	77	11	2.97	+	3.70	1.72E-04	1.50E-02
glutathione metabolic process (GO:0006749)	64	9	2.47	+	3.64	7.44E-04	4.70E-02
disruption of cell in another organism (GO:0141061)	121	17	4.67	+	3.64	4.04E-06	6.68E-04
killing of cells of another organism (GO:0031640)	121	17	4.67	+	3.64	4.04E-06	6.60E-04
cell killing (GO:0001906)	178	25	6.87	+	3.64	2.35E-08	7.42E-06
positive regulation of cell killing (GO:0031343)	72	10	2.78	+	3.60	4.25E-04	3.15E-02
antimicrobial humoral response (GO:0019730)	180	25	6.94	+	3.60	2.95E-08	9.11E-06
regulation of T cell mediated immunity (GO:0002709)	110	15	4.24	+	3.53	2.12E-05	2.62E-03
primary alcohol metabolic process (GO:0034308)	98	13	3.78	+	3.44	9.91E-05	9.30E-03
retinoid metabolic process (GO:0001523)	91	12	3.51	+	3.42	1.93E-04	1.65E-02
regulation of cell killing (GO:0031341)	111	14	4.28	+	3.27	9.47E-05	8.99E-03
diterpenoid metabolic process (GO:0016101)	96	12	3.70	+	3.24	3.20E-04	2.54E-02
purine nucleotide catabolic process (GO:0006195)	91	11	3.51	+	3.13	7.49E-04	4.71E-02
xenobiotic metabolic process (GO:0006805)	133	16	5.13	+	3.12	5.50E-05	5.88E-03
regulation of leukocyte mediated cytotoxicity (GO:0001910)	100	12	3.86	+	3.11	4.68E-04	3.38E-02
Golgi organization (GO:0007030)	142	17	5.48	+	3.10	3.46E-05	3.87E-03
icosanoid metabolic process (GO:0006690)	119	14	4.59	+	3.05	2.01E-04	1.70E-02
sensory perception (GO:0007600)	1013	118	39.08	+	3.02	1.12E-27	2.04E-24
symbiont entry into host (GO:0044409)	113	13	4.36	+	2.98	4.17E-04	3.13E-02
symbiont entry into host cell (GO:0046718)	113	13	4.36	+	2.98	4.17E-04	3.11E-02
antigen processing and presentation (GO:0019882)	105	12	4.05	+	2.96	7.29E-04	4.63E-02
terpenoid metabolic process (GO:0006721)	115	13	4.44	+	2.93	4.95E-04	3.53E-02
isoprenoid metabolic process (GO:0006720)	124	14	4.78	+	2.93	3.09E-04	2.48E-02
biological process involved in symbiotic interaction (GO:0044403)	187	21	7.21	+	2.91	1.18E-05	1.70E-03
humoral immune response (GO:0006959)	285	32	11.00	+	2.91	6.65E-08	1.72E-05
olefinic compound metabolic process (GO:0120254)	155	17	5.98	+	2.84	1.05E-04	9.67E-03
G protein-coupled receptor signaling pathway (GO:0007186)	1273	135	49.11	+	2.75	1.27E-27	2.05E-24
modified amino acid metabolic process (GO:0006575)	186	18	7.18	+	2.51	3.25E-04	2.57E-02
cell chemotaxis (GO:0060326)	220	21	8.49	+	2.47	1.30E-04	1.15E-02
nervous system process (GO:0050877)	1509	125	58.22	+	2.15	2.88E-16	3.21E-13
defense response to symbiont (GO:0140546)	959	72	37.00	+	1.95	6.47E-08	1.71E-05
defense response to other organism (GO:0098542)	972	72	37.50	+	1.92	1.26E-07	3.11E-05
system process (GO:0003008)	2214	144	85.42	+	1.69	2.78E-10	1.50E-07
innate immune response (GO:0045087)	850	53	32.79	+	1.62	6.94E-04	4.44E-02
defense response (GO:0006952)	1582	94	61.04	+	1.54	2.35E-05	2.80E-03
response to chemical (GO:0042221)	3741	217	144.33	+	1.50	9.79E-11	6.19E-08
biological process involved in interspecies interaction between organisms (GO:0044419)	1664	95	64.20	+	1.48	1.10E-04	9.92E-03
response to other organism (GO:0051707)	1496	85	57.72	+	1.47	3.54E-04	2.75E-02
response to external biotic stimulus (GO:0043207)	1499	85	57.83	+	1.47	3.59E-04	2.78E-02
signal transduction (GO:0007165)	4926	231	190.05	+	1.22	6.80E-04	4.40E-02
metabolic process (GO:0008152)	7657	236	295.42	-	.80	6.80E-06	1.06E-03
primary metabolic process (GO:0044238)	6771	207	261.23	-	.79	2.22E-05	2.68E-03
biosynthetic process (GO:0009058)	4033	119	155.60	-	.76	7.26E-04	4.63E-02
localization (GO:0051179)	4600	132	177.47	-	.74	5.20E-05	5.60E-03
regulation of response to stimulus (GO:0048583)	4201	120	162.08	-	.74	1.10E-04	9.97E-03
regulation of metabolic process (GO:0019222)	6337	179	244.49	-	.73	1.70E-07	3.92E-05
regulation of macromolecule metabolic process (GO:0060255)	5789	160	223.35	-	.72	1.56E-07	3.73E-05
macromolecule biosynthetic process (GO:0009059)	2970	82	114.59	-	.72	5.50E-04	3.73E-02
negative regulation of metabolic process (GO:0009892)	2873	79	110.84	-	.71	6.70E-04	4.39E-02
regulation of gene expression (GO:0010468)	4973	135	191.86	-	.70	7.10E-07	1.45E-04
regulation of macromolecule biosynthetic process (GO:0010556)	5083	137	196.11	-	.70	3.51E-07	7.49E-05
macromolecule metabolic process (GO:0043170)	5431	145	209.53	-	.69	4.34E-08	1.21E-05
negative regulation of biological process (GO:0048519)	5491	145	211.85	-	.68	1.84E-08	6.36E-06
organelle organization (GO:0006996)	3146	83	121.38	-	.68	6.79E-05	6.86E-03
regulation of biosynthetic process (GO:0009889)	5269	139	203.28	-	.68	3.95E-08	1.15E-05
regulation of primary metabolic process (GO:0080090)	5244	138	202.32	-	.68	3.75E-08	1.11E-05
negative regulation of macromolecule metabolic process (GO:0010605)	2641	69	101.89	-	.68	2.27E-04	1.88E-02
nucleic acid metabolic process (GO:0090304)	2180	56	84.11	-	.67	6.29E-04	4.14E-02
negative regulation of macromolecule biosynthetic process (GO:0010558)	2259	58	87.15	-	.67	4.96E-04	3.51E-02
cellular component organization (GO:0016043)	5846	149	225.55	-	.66	1.94E-10	1.13E-07
positive regulation of cellular process (GO:0048522)	5874	149	226.63	-	.66	1.19E-10	7.23E-08
positive regulation of biological process (GO:0048518)	6232	158	240.44	-	.66	1.76E-11	1.28E-08
negative regulation of cellular process (GO:0048523)	5246	133	202.40	-	.66	2.46E-09	1.02E-06
regulation of DNA-templated transcription (GO:0006355)	3393	86	130.91	-	.66	5.35E-06	8.46E-04
regulation of RNA biosynthetic process (GO:2001141)	3405	86	131.37	-	.65	4.37E-06	6.98E-04
regulation of RNA metabolic process (GO:0051252)	3702	93	142.83	-	.65	1.11E-06	2.18E-04
cellular component organization or biogenesis (GO:0071840)	6059	152	233.76	-	.65	2.02E-11	1.40E-08
cellular component assembly (GO:0022607)	2575	64	99.35	-	.64	6.16E-05	6.39E-03
negative regulation of biosynthetic process (GO:0009890)	2340	58	90.28	-	.64	1.28E-04	1.14E-02
regulation of localization (GO:0032879)	2024	50	78.09	-	.64	4.06E-04	3.06E-02
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4005	98	154.52	-	.63	6.23E-08	1.68E-05
regulation of intracellular signal transduction (GO:1902531)	2057	50	79.36	-	.63	2.23E-04	1.86E-02
cell surface receptor signaling pathway (GO:0007166)	2140	52	82.56	-	.63	1.78E-04	1.54E-02
regulation of multicellular organismal process (GO:0051239)	3029	73	116.86	-	.62	3.05E-06	5.28E-04
regulation of signal transduction (GO:0009966)	3192	76	123.15	-	.62	8.64E-07	1.72E-04
cellular component biogenesis (GO:0044085)	2822	67	108.88	-	.62	4.30E-06	6.94E-04
negative regulation of response to stimulus (GO:0048585)	1771	42	68.33	-	.61	3.73E-04	2.87E-02
regulation of cell communication (GO:0010646)	3643	85	140.55	-	.60	3.27E-08	9.91E-06
regulation of signaling (GO:0023051)	3636	84	140.28	-	.60	1.86E-08	6.29E-06
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1656	38	63.89	-	.59	3.11E-04	2.49E-02
negative regulation of RNA metabolic process (GO:0051253)	1530	35	59.03	-	.59	5.36E-04	3.76E-02
regulation of programmed cell death (GO:0043067)	1531	35	59.07	-	.59	5.36E-04	3.75E-02
positive regulation of metabolic process (GO:0009893)	3516	80	135.65	-	.59	1.59E-08	5.65E-06
developmental process (GO:0032502)	5934	135	228.94	-	.59	4.33E-15	3.94E-12
positive regulation of macromolecule biosynthetic process (GO:0010557)	2599	59	100.27	-	.59	1.96E-06	3.57E-04
positive regulation of macromolecule metabolic process (GO:0010604)	3187	72	122.96	-	.59	7.52E-08	1.88E-05
cell differentiation (GO:0030154)	3775	85	145.64	-	.58	2.36E-09	1.01E-06
regulation of biological quality (GO:0065008)	3065	69	118.25	-	.58	1.42E-07	3.44E-05
cellular developmental process (GO:0048869)	3778	85	145.76	-	.58	1.84E-09	8.38E-07
regulation of cell population proliferation (GO:0042127)	1657	37	63.93	-	.58	1.83E-04	1.57E-02
positive regulation of biosynthetic process (GO:0009891)	2720	59	104.94	-	.56	1.89E-07	4.17E-05
cytoskeleton organization (GO:0007010)	1311	28	50.58	-	.55	4.64E-04	3.39E-02
negative regulation of multicellular organismal process (GO:0051241)	1153	24	44.48	-	.54	6.77E-04	4.39E-02
cellular response to stress (GO:0033554)	1685	35	65.01	-	.54	2.89E-05	3.31E-03
regulation of cellular component organization (GO:0051128)	2571	53	99.19	-	.53	6.84E-08	1.74E-05
intracellular signal transduction (GO:0035556)	1741	35	67.17	-	.52	8.64E-06	1.31E-03
anatomical structure development (GO:0048856)	5359	107	206.76	-	.52	2.33E-18	3.08E-15
negative regulation of signal transduction (GO:0009968)	1416	27	54.63	-	.49	2.22E-05	2.71E-03
negative regulation of programmed cell death (GO:0043069)	936	17	36.11	-	.47	4.64E-04	3.38E-02
regulation of cellular component biogenesis (GO:0044087)	1056	19	40.74	-	.47	1.44E-04	1.26E-02
negative regulation of cell communication (GO:0010648)	1513	27	58.37	-	.46	2.84E-06	5.04E-04
negative regulation of signaling (GO:0023057)	1513	27	58.37	-	.46	2.84E-06	4.98E-04
response to abiotic stimulus (GO:0009628)	1122	20	43.29	-	.46	6.10E-05	6.43E-03
positive regulation of cellular component organization (GO:0051130)	1125	20	43.40	-	.46	6.13E-05	6.41E-03
nervous system development (GO:0007399)	2269	40	87.54	-	.46	2.05E-09	9.01E-07
cell projection organization (GO:0030030)	1254	22	48.38	-	.45	1.44E-05	1.94E-03
plasma membrane bounded cell projection organization (GO:0120036)	1198	21	46.22	-	.45	2.62E-05	3.02E-03
cell development (GO:0048468)	2328	40	89.82	-	.45	4.95E-10	2.48E-07
intracellular signaling cassette (GO:0141124)	789	13	30.44	-	.43	4.38E-04	3.23E-02
negative regulation of developmental process (GO:0051093)	978	16	37.73	-	.42	5.70E-05	6.05E-03
system development (GO:0048731)	3655	58	141.01	-	.41	6.51E-18	7.88E-15
positive regulation of DNA-templated transcription (GO:0045893)	1708	27	65.90	-	.41	1.86E-08	6.16E-06
positive regulation of RNA biosynthetic process (GO:1902680)	1710	27	65.97	-	.41	1.87E-08	6.04E-06
positive regulation of transcription by RNA polymerase II (GO:0045944)	1270	20	49.00	-	.41	1.76E-06	3.28E-04
multicellular organism development (GO:0007275)	4053	63	156.37	-	.40	1.26E-20	1.84E-17
positive regulation of RNA metabolic process (GO:0051254)	1838	28	70.91	-	.39	1.71E-09	8.03E-07
regulation of organelle organization (GO:0033043)	1191	18	45.95	-	.39	1.84E-06	3.39E-04
animal organ development (GO:0048513)	2930	44	113.04	-	.39	2.55E-15	2.47E-12
regulation of cell development (GO:0060284)	826	12	31.87	-	.38	6.25E-05	6.36E-03
actin filament-based process (GO:0030029)	627	9	24.19	-	.37	4.68E-04	3.37E-02
anatomical structure morphogenesis (GO:0009653)	2287	32	88.24	-	.36	4.99E-13	4.03E-10
regulation of developmental process (GO:0050793)	2527	33	97.49	-	.34	1.33E-15	1.38E-12
neurogenesis (GO:0022008)	1386	18	53.47	-	.34	8.12E-09	2.95E-06
organelle localization (GO:0051640)	558	7	21.53	-	.33	3.30E-04	2.59E-02
head development (GO:0060322)	803	10	30.98	-	.32	1.35E-05	1.84E-03
behavior (GO:0007610)	658	8	25.39	-	.32	7.62E-05	7.38E-03
positive regulation of developmental process (GO:0051094)	1326	16	51.16	-	.31	5.64E-09	2.16E-06
plasma membrane bounded cell projection morphogenesis (GO:0120039)	499	6	19.25	-	.31	5.76E-04	3.89E-02
brain development (GO:0007420)	752	9	29.01	-	.31	1.73E-05	2.25E-03
regulation of anatomical structure size (GO:0090066)	504	6	19.44	-	.31	5.86E-04	3.91E-02
regulation of anatomical structure morphogenesis (GO:0022603)	840	10	32.41	-	.31	3.83E-06	6.47E-04
cell projection morphogenesis (GO:0048858)	506	6	19.52	-	.31	5.95E-04	3.95E-02
central nervous system development (GO:0007417)	1026	12	39.58	-	.30	1.89E-07	4.23E-05
embryonic morphogenesis (GO:0048598)	604	7	23.30	-	.30	9.56E-05	9.03E-03
neuron differentiation (GO:0030182)	1130	13	43.60	-	.30	4.31E-08	1.23E-05
regulation of cell differentiation (GO:0045595)	1576	18	60.80	-	.30	3.44E-11	2.27E-08
embryo development ending in birth or egg hatching (GO:0009792)	704	8	27.16	-	.29	2.24E-05	2.69E-03
regulation of multicellular organismal development (GO:2000026)	1428	16	55.09	-	.29	2.11E-10	1.18E-07
embryo development (GO:0009790)	1073	12	41.40	-	.29	5.25E-08	1.44E-05
blood vessel development (GO:0001568)	539	6	20.80	-	.29	2.35E-04	1.94E-02
neuron projection development (GO:0031175)	721	8	27.82	-	.29	1.15E-05	1.68E-03
