




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5149)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
L-lysine catabolic process (GO:0019477)	7	7	1.75	+	4.00	6.12E-05	8.53E-04
L-lysine catabolic process to acetyl-CoA (GO:0019474)	6	6	1.50	+	4.00	2.45E-04	2.88E-03
vesicle uncoating (GO:0072319)	6	6	1.50	+	4.00	2.45E-04	2.88E-03
protein localization to plasma membrane raft (GO:0044860)	6	6	1.50	+	4.00	2.45E-04	2.88E-03
L-valine catabolic process (GO:0006574)	6	6	1.50	+	4.00	2.45E-04	2.87E-03
cap-dependent translational initiation (GO:0002191)	6	6	1.50	+	4.00	2.45E-04	2.87E-03
glycine biosynthetic process (GO:0006545)	6	6	1.50	+	4.00	2.45E-04	2.87E-03
peripheral nervous system axon regeneration (GO:0014012)	7	7	1.75	+	4.00	6.12E-05	8.52E-04
glycoside transport (GO:1901656)	6	6	1.50	+	4.00	2.45E-04	2.87E-03
regulation of microvillus length (GO:0032532)	7	7	1.75	+	4.00	6.12E-05	8.51E-04
succinyl-CoA biosynthetic process (GO:1901290)	6	6	1.50	+	4.00	2.45E-04	2.86E-03
D-xylulose 5-phosphate metabolic process (GO:0051167)	6	6	1.50	+	4.00	2.45E-04	2.86E-03
negative regulation of very-low-density lipoprotein particle remodeling (GO:0010903)	6	6	1.50	+	4.00	2.45E-04	2.86E-03
amyloid-beta clearance by transcytosis (GO:0150093)	7	7	1.75	+	4.00	6.12E-05	8.50E-04
negative regulation of plasminogen activation (GO:0010757)	7	7	1.75	+	4.00	6.12E-05	8.49E-04
negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide (GO:1903751)	6	6	1.50	+	4.00	2.45E-04	2.86E-03
regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide (GO:1903750)	6	6	1.50	+	4.00	2.45E-04	2.86E-03
regulation of mitochondrial electron transport, NADH to ubiquinone (GO:1902956)	6	6	1.50	+	4.00	2.45E-04	2.85E-03
dTMP catabolic process (GO:0046074)	5	5	1.25	+	4.00	9.79E-04	9.37E-03
clathrin coat disassembly (GO:0072318)	5	5	1.25	+	4.00	9.79E-04	9.37E-03
tricarboxylic acid transport (GO:0006842)	5	5	1.25	+	4.00	9.79E-04	9.36E-03
metanephric proximal tubule development (GO:0072237)	5	5	1.25	+	4.00	9.79E-04	9.35E-03
L-isoleucine catabolic process (GO:0006550)	5	5	1.25	+	4.00	9.79E-04	9.35E-03
succinate transmembrane transport (GO:0071422)	5	5	1.25	+	4.00	9.79E-04	9.34E-03
positive regulation of amyloid fibril formation (GO:1905908)	5	5	1.25	+	4.00	9.79E-04	9.34E-03
ether catabolic process (GO:1901502)	5	5	1.25	+	4.00	9.79E-04	9.33E-03
viral translational termination-reinitiation (GO:0075525)	5	5	1.25	+	4.00	9.79E-04	9.32E-03
isocitrate metabolic process (GO:0006102)	5	5	1.25	+	4.00	9.79E-04	9.32E-03
glucuronate catabolic process (GO:0006064)	5	5	1.25	+	4.00	9.79E-04	9.31E-03
glycerol ether catabolic process (GO:0044269)	5	5	1.25	+	4.00	9.79E-04	9.31E-03
regulation of protein localization to endoplasmic reticulum (GO:1905550)	5	5	1.25	+	4.00	9.79E-04	9.30E-03
retrograde neuronal dense core vesicle transport (GO:1990049)	5	5	1.25	+	4.00	9.79E-04	9.29E-03
D-glucuronate catabolic process (GO:0042840)	5	5	1.25	+	4.00	9.79E-04	9.29E-03
platelet activating factor catabolic process (GO:0062234)	5	5	1.25	+	4.00	9.79E-04	9.28E-03
