




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5140)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
germinal center formation (GO:0002467)	8	8	2.00	+	4.00	1.51E-05	5.12E-04
toxic metabolite repair (GO:0110052)	6	6	1.50	+	4.00	2.42E-04	5.53E-03
cellular response to salt stress (GO:0071472)	9	9	2.25	+	4.00	3.76E-06	1.51E-04
regulation of neutrophil mediated cytotoxicity (GO:0070948)	6	6	1.50	+	4.00	2.42E-04	5.52E-03
glucuronate catabolic process (GO:0006064)	5	5	1.25	+	4.00	9.70E-04	1.77E-02
D-xylulose 5-phosphate metabolic process (GO:0051167)	6	6	1.50	+	4.00	2.42E-04	5.51E-03
membrane raft distribution (GO:0031580)	7	7	1.75	+	4.00	6.04E-05	1.73E-03
D-glucuronate catabolic process (GO:0042840)	5	5	1.25	+	4.00	9.70E-04	1.77E-02
hyperosmotic salinity response (GO:0042538)	5	5	1.25	+	4.00	9.70E-04	1.77E-02
transepithelial water transport (GO:0035377)	5	5	1.25	+	4.00	9.70E-04	1.77E-02
D-glucuronate catabolic process to D-xylulose 5-phosphate (GO:0019640)	5	5	1.25	+	4.00	9.70E-04	1.76E-02
L-kynurenine metabolic process (GO:0097052)	5	5	1.25	+	4.00	9.70E-04	1.76E-02
positive regulation of striated muscle contraction (GO:0045989)	13	12	3.25	+	3.70	5.84E-07	2.74E-05
positive regulation of cardiac muscle contraction (GO:0060452)	8	7	2.00	+	3.50	3.78E-04	8.11E-03
metabolite repair (GO:0110051)	8	7	2.00	+	3.50	3.78E-04	8.10E-03
L-phenylalanine catabolic process (GO:0006559)	8	7	2.00	+	3.50	3.78E-04	8.09E-03
L-phenylalanine metabolic process (GO:0006558)	8	7	2.00	+	3.50	3.78E-04	8.08E-03
membrane raft localization (GO:0051665)	8	7	2.00	+	3.50	3.78E-04	8.07E-03
pointed-end actin filament capping (GO:0051694)	7	6	1.75	+	3.43	1.33E-03	2.19E-02
regulation of complement activation, alternative pathway (GO:0030451)	7	6	1.75	+	3.43	1.33E-03	2.19E-02
bradykinin catabolic process (GO:0010815)	7	6	1.75	+	3.43	1.33E-03	2.18E-02
very-low-density lipoprotein particle clearance (GO:0034447)	7	6	1.75	+	3.43	1.33E-03	2.18E-02
positive thymic T cell selection (GO:0045059)	12	10	3.00	+	3.34	3.71E-05	1.13E-03
regulation of gamma-delta T cell differentiation (GO:0045586)	11	9	2.75	+	3.28	1.25E-04	3.22E-03
malate metabolic process (GO:0006108)	11	9	2.75	+	3.28	1.25E-04	3.21E-03
response to stilbenoid (GO:0035634)	11	9	2.75	+	3.28	1.25E-04	3.20E-03
cristae formation (GO:0042407)	16	13	4.00	+	3.25	3.70E-06	1.49E-04
lysine catabolic process (GO:0006554)	10	8	2.50	+	3.20	4.11E-04	8.63E-03
insulin secretion involved in cellular response to glucose stimulus (GO:0035773)	10	8	2.50	+	3.20	4.11E-04	8.62E-03
negative regulation of fatty acid oxidation (GO:0046322)	14	11	3.50	+	3.15	3.92E-05	1.19E-03
dTMP metabolic process (GO:0046073)	9	7	2.25	+	3.11	1.33E-03	2.20E-02
positive regulation of gamma-delta T cell differentiation (GO:0045588)	9	7	2.25	+	3.11	1.33E-03	2.20E-02
cellular response to hydroperoxide (GO:0071447)	9	7	2.25	+	3.11	1.33E-03	2.19E-02
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030)	9	7	2.25	+	3.11	1.33E-03	2.19E-02
copper ion transmembrane transport (GO:0035434)	9	7	2.25	+	3.11	1.33E-03	2.19E-02
negative T cell selection (GO:0043383)	13	10	3.25	+	3.08	1.24E-04	3.22E-03
negative thymic T cell selection (GO:0045060)	12	9	3.00	+	3.00	3.87E-04	8.19E-03
urea cycle (GO:0000050)	12	9	3.00	+	3.00	3.87E-04	8.18E-03
protein folding in endoplasmic reticulum (GO:0034975)	12	9	3.00	+	3.00	3.87E-04	8.16E-03
positive regulation of mitotic cytokinesis (GO:1903490)	12	9	3.00	+	3.00	3.87E-04	8.15E-03
response to hydroperoxide (GO:0033194)	19	14	4.75	+	2.95	1.13E-05	3.96E-04
regulation of cardiac muscle hypertrophy in response to stress (GO:1903242)	11	8	2.75	+	2.91	1.18E-03	2.00E-02
lipoxygenase pathway (GO:0019372)	11	8	2.75	+	2.91	1.18E-03	2.00E-02
regulation of behavioral fear response (GO:2000822)	11	8	2.75	+	2.91	1.18E-03	2.00E-02
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)	11	8	2.75	+	2.91	1.18E-03	2.00E-02
lysine metabolic process (GO:0006553)	11	8	2.75	+	2.91	1.18E-03	1.99E-02
regulation of cardiac muscle adaptation (GO:0010612)	11	8	2.75	+	2.91	1.18E-03	1.99E-02
alkanesulfonate metabolic process (GO:0019694)	11	8	2.75	+	2.91	1.18E-03	1.99E-02
taurine metabolic process (GO:0019530)	11	8	2.75	+	2.91	1.18E-03	1.99E-02
tricarboxylic acid metabolic process (GO:0072350)	14	10	3.50	+	2.86	3.37E-04	7.36E-03
fructose metabolic process (GO:0006000)	14	10	3.50	+	2.86	3.37E-04	7.35E-03
urea metabolic process (GO:0019627)	14	10	3.50	+	2.86	3.37E-04	7.34E-03
response to salt stress (GO:0009651)	17	12	4.25	+	2.83	9.82E-05	2.63E-03
sarcomere organization (GO:0045214)	44	31	10.99	+	2.82	2.86E-10	2.50E-08
sphingomyelin biosynthetic process (GO:0006686)	10	7	2.50	+	2.80	3.48E-03	4.80E-02
zinc ion import across plasma membrane (GO:0071578)	10	7	2.50	+	2.80	3.48E-03	4.79E-02
cysteine metabolic process (GO:0006534)	10	7	2.50	+	2.80	3.48E-03	4.79E-02
regulation of translational initiation in response to stress (GO:0043558)	10	7	2.50	+	2.80	3.48E-03	4.79E-02
kynurenine metabolic process (GO:0070189)	10	7	2.50	+	2.80	3.48E-03	4.78E-02
Golgi lumen acidification (GO:0061795)	10	7	2.50	+	2.80	3.48E-03	4.78E-02
intracellular triglyceride homeostasis (GO:0035356)	10	7	2.50	+	2.80	3.48E-03	4.77E-02
regulation of type B pancreatic cell proliferation (GO:0061469)	10	7	2.50	+	2.80	3.48E-03	4.77E-02
regulation of pyruvate decarboxylation to acetyl-CoA (GO:0010510)	10	7	2.50	+	2.80	3.48E-03	4.76E-02
benzene-containing compound metabolic process (GO:0042537)	23	16	5.74	+	2.79	8.56E-06	3.10E-04
glutathione biosynthetic process (GO:0006750)	13	9	3.25	+	2.77	9.78E-04	1.77E-02
ether biosynthetic process (GO:1901503)	13	9	3.25	+	2.77	9.78E-04	1.77E-02
relaxation of cardiac muscle (GO:0055119)	13	9	3.25	+	2.77	9.78E-04	1.77E-02
phosphate ion transmembrane transport (GO:0035435)	13	9	3.25	+	2.77	9.78E-04	1.76E-02
regulation of gamma-delta T cell activation (GO:0046643)	13	9	3.25	+	2.77	9.78E-04	1.76E-02
mitotic DNA replication (GO:1902969)	13	9	3.25	+	2.77	9.78E-04	1.76E-02
regulation of cell-cell adhesion mediated by integrin (GO:0033632)	12	8	3.00	+	2.67	2.76E-03	4.00E-02
nonribosomal peptide biosynthetic process (GO:0019184)	15	10	3.75	+	2.67	7.85E-04	1.49E-02
negative regulation of triglyceride metabolic process (GO:0090209)	15	10	3.75	+	2.67	7.85E-04	1.49E-02
membrane tubulation (GO:0097749)	12	8	3.00	+	2.67	2.76E-03	4.00E-02
ether lipid biosynthetic process (GO:0008611)	12	8	3.00	+	2.67	2.76E-03	3.99E-02
glycerol ether biosynthetic process (GO:0046504)	12	8	3.00	+	2.67	2.76E-03	3.99E-02
prostate gland growth (GO:0060736)	12	8	3.00	+	2.67	2.76E-03	3.98E-02
very-low-density lipoprotein particle assembly (GO:0034379)	12	8	3.00	+	2.67	2.76E-03	3.98E-02
regulation of skeletal muscle adaptation (GO:0014733)	12	8	3.00	+	2.67	2.76E-03	3.98E-02
regulation of fear response (GO:1903365)	12	8	3.00	+	2.67	2.76E-03	3.97E-02
proton motive force-driven mitochondrial ATP synthesis (GO:0042776)	64	42	15.98	+	2.63	7.90E-12	9.19E-10
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	46	30	11.49	+	2.61	9.69E-09	6.94E-07
myofibril assembly (GO:0030239)	69	45	17.23	+	2.61	1.97E-12	2.54E-10
nucleoside monophosphate catabolic process (GO:0009125)	20	13	5.00	+	2.60	1.80E-04	4.30E-03
actin-myosin filament sliding (GO:0033275)	17	11	4.25	+	2.59	6.16E-04	1.22E-02
deoxyribonucleoside monophosphate catabolic process (GO:0009159)	17	11	4.25	+	2.59	6.16E-04	1.22E-02
fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	14	9	3.50	+	2.57	2.13E-03	3.23E-02
negative regulation of cholesterol transport (GO:0032375)	14	9	3.50	+	2.57	2.13E-03	3.23E-02
negative regulation of sterol transport (GO:0032372)	14	9	3.50	+	2.57	2.13E-03	3.23E-02
regulation of protein localization to endosome (GO:1905666)	14	9	3.50	+	2.57	2.13E-03	3.22E-02
respiratory chain complex III assembly (GO:0017062)	14	9	3.50	+	2.57	2.13E-03	3.22E-02
carnitine metabolic process (GO:0009437)	14	9	3.50	+	2.57	2.13E-03	3.22E-02
pyrimidine deoxyribonucleoside monophosphate metabolic process (GO:0009176)	14	9	3.50	+	2.57	2.13E-03	3.21E-02
hormone catabolic process (GO:0042447)	14	9	3.50	+	2.57	2.13E-03	3.21E-02
mitochondrial respiratory chain complex III assembly (GO:0034551)	14	9	3.50	+	2.57	2.13E-03	3.21E-02
regulation of the force of heart contraction (GO:0002026)	25	16	6.24	+	2.56	4.20E-05	1.26E-03
proton motive force-driven ATP synthesis (GO:0015986)	72	46	17.98	+	2.56	3.35E-12	4.17E-10
plasma lipoprotein particle clearance (GO:0034381)	30	19	7.49	+	2.54	9.90E-06	3.51E-04
arginine metabolic process (GO:0006525)	19	12	4.75	+	2.53	4.77E-04	9.73E-03
positive regulation of lipid storage (GO:0010884)	19	12	4.75	+	2.53	4.77E-04	9.72E-03
response to lithium ion (GO:0010226)	16	10	4.00	+	2.50	1.62E-03	2.58E-02
triglyceride biosynthetic process (GO:0019432)	24	15	5.99	+	2.50	1.09E-04	2.89E-03
nitrogen cycle metabolic process (GO:0071941)	16	10	4.00	+	2.50	1.62E-03	2.58E-02
mitotic chromosome condensation (GO:0007076)	16	10	4.00	+	2.50	1.62E-03	2.58E-02
keratan sulfate proteoglycan biosynthetic process (GO:0018146)	16	10	4.00	+	2.50	1.62E-03	2.57E-02
G1 to G0 transition (GO:0070314)	16	10	4.00	+	2.50	1.62E-03	2.57E-02
amyloid precursor protein catabolic process (GO:0042987)	16	10	4.00	+	2.50	1.62E-03	2.57E-02
amyloid precursor protein metabolic process (GO:0042982)	24	15	5.99	+	2.50	1.09E-04	2.89E-03
astral microtubule organization (GO:0030953)	16	10	4.00	+	2.50	1.62E-03	2.57E-02
ribonucleoside monophosphate catabolic process (GO:0009158)	16	10	4.00	+	2.50	1.62E-03	2.56E-02
regulation of triglyceride catabolic process (GO:0010896)	16	10	4.00	+	2.50	1.62E-03	2.56E-02
ether lipid metabolic process (GO:0046485)	24	15	5.99	+	2.50	1.09E-04	2.88E-03
low-density lipoprotein particle remodeling (GO:0034374)	16	10	4.00	+	2.50	1.62E-03	2.56E-02
aerobic electron transport chain (GO:0019646)	86	53	21.48	+	2.47	6.41E-13	8.79E-11
plasma lipoprotein particle assembly (GO:0034377)	26	16	6.49	+	2.46	8.39E-05	2.29E-03
response to lead ion (GO:0010288)	18	11	4.50	+	2.45	1.23E-03	2.06E-02
positive regulation of transforming growth factor beta production (GO:0071636)	18	11	4.50	+	2.45	1.23E-03	2.05E-02
amino-acid betaine metabolic process (GO:0006577)	18	11	4.50	+	2.45	1.23E-03	2.05E-02
2-oxoglutarate metabolic process (GO:0006103)	18	11	4.50	+	2.45	1.23E-03	2.05E-02
non-proteinogenic amino acid catabolic process (GO:0170044)	18	11	4.50	+	2.45	1.23E-03	2.05E-02
cardiac myofibril assembly (GO:0055003)	18	11	4.50	+	2.45	1.23E-03	2.05E-02
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	90	55	22.48	+	2.45	3.90E-13	5.55E-11
ATP synthesis coupled electron transport (GO:0042773)	90	55	22.48	+	2.45	3.90E-13	5.50E-11
respiratory electron transport chain (GO:0022904)	106	64	26.47	+	2.42	1.08E-14	1.96E-12
thymic T cell selection (GO:0045061)	35	21	8.74	+	2.40	1.14E-05	4.00E-04
glycosyl compound catabolic process (GO:1901658)	20	12	5.00	+	2.40	9.21E-04	1.70E-02
brown fat cell differentiation (GO:0050873)	35	21	8.74	+	2.40	1.14E-05	3.99E-04
positive regulation of T cell receptor signaling pathway (GO:0050862)	20	12	5.00	+	2.40	9.21E-04	1.70E-02
peptide biosynthetic process (GO:0043043)	25	15	6.24	+	2.40	2.10E-04	4.92E-03
aspartate transmembrane transport (GO:0015810)	20	12	5.00	+	2.40	9.21E-04	1.69E-02
oxidative phosphorylation (GO:0006119)	114	68	28.47	+	2.39	3.81E-15	7.10E-13
skeletal muscle contraction (GO:0003009)	37	22	9.24	+	2.38	8.69E-06	3.13E-04
plasma lipoprotein particle remodeling (GO:0034369)	37	22	9.24	+	2.38	8.69E-06	3.12E-04
protein-lipid complex remodeling (GO:0034368)	37	22	9.24	+	2.38	8.69E-06	3.11E-04
hexose biosynthetic process (GO:0019319)	44	26	10.99	+	2.37	1.57E-06	6.87E-05
sphingosine metabolic process (GO:0006670)	22	13	5.49	+	2.37	6.89E-04	1.35E-02
membrane protein ectodomain proteolysis (GO:0006509)	22	13	5.49	+	2.37	6.89E-04	1.34E-02
regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901028)	22	13	5.49	+	2.37	6.89E-04	1.34E-02
tyrosine metabolic process (GO:0006570)	17	10	4.25	+	2.36	3.06E-03	4.35E-02
cellular hyperosmotic response (GO:0071474)	17	10	4.25	+	2.36	3.06E-03	4.35E-02
V(D)J recombination (GO:0033151)	17	10	4.25	+	2.36	3.06E-03	4.34E-02
tricarboxylic acid cycle (GO:0006099)	34	20	8.49	+	2.36	2.79E-05	8.80E-04
peptidyl-lysine methylation (GO:0018022)	17	10	4.25	+	2.36	3.06E-03	4.34E-02
adaptive thermogenesis (GO:1990845)	29	17	7.24	+	2.35	1.19E-04	3.10E-03
electron transport chain (GO:0022900)	116	68	28.97	+	2.35	1.59E-14	2.85E-12
