




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5102)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
lymphocyte aggregation (GO:0071593)	5	5	1.24	+	4.03	9.35E-04	1.60E-02
protein storage (GO:0140089)	5	5	1.24	+	4.03	9.35E-04	1.60E-02
positive regulation of osteoclast development (GO:2001206)	4	4	.99	+	4.03	3.77E-03	5.00E-02
spindle assembly involved in female meiosis I (GO:0007057)	4	4	.99	+	4.03	3.77E-03	5.00E-02
regulation of endothelial cell chemotaxis to fibroblast growth factor (GO:2000544)	6	6	1.49	+	4.03	2.32E-04	5.08E-03
melanin biosynthetic process from tyrosine (GO:0006583)	4	4	.99	+	4.03	3.77E-03	5.00E-02
response to heparin (GO:0071503)	6	6	1.49	+	4.03	2.32E-04	5.07E-03
brain renin-angiotensin system (GO:0002035)	4	4	.99	+	4.03	3.77E-03	4.99E-02
male anatomical structure morphogenesis (GO:0090598)	4	4	.99	+	4.03	3.77E-03	4.99E-02
male genitalia morphogenesis (GO:0048808)	4	4	.99	+	4.03	3.77E-03	4.98E-02
positive regulation of glucocorticoid biosynthetic process (GO:0031948)	4	4	.99	+	4.03	3.77E-03	4.98E-02
regulation of cell chemotaxis to fibroblast growth factor (GO:1904847)	6	6	1.49	+	4.03	2.32E-04	5.06E-03
9-cis-retinoic acid metabolic process (GO:0042905)	4	4	.99	+	4.03	3.77E-03	4.97E-02
9-cis-retinoic acid biosynthetic process (GO:0042904)	4	4	.99	+	4.03	3.77E-03	4.97E-02
negative regulation of myofibroblast differentiation (GO:1904761)	4	4	.99	+	4.03	3.77E-03	4.96E-02
cytidine transport (GO:0015861)	4	4	.99	+	4.03	3.77E-03	4.96E-02
guanine transport (GO:0015854)	4	4	.99	+	4.03	3.77E-03	4.96E-02
guanine transmembrane transport (GO:1903716)	4	4	.99	+	4.03	3.77E-03	4.95E-02
cellular response to cisplatin (GO:0072719)	4	4	.99	+	4.03	3.77E-03	4.95E-02
prostate gland stromal morphogenesis (GO:0060741)	4	4	.99	+	4.03	3.77E-03	4.94E-02
negative T cell selection (GO:0043383)	13	12	3.22	+	3.72	5.35E-07	2.70E-05
double-strand break repair involved in meiotic recombination (GO:1990918)	12	11	2.97	+	3.70	2.00E-06	8.68E-05
negative thymic T cell selection (GO:0045060)	12	11	2.97	+	3.70	2.00E-06	8.65E-05
regulation of gamma-delta T cell differentiation (GO:0045586)	11	10	2.73	+	3.67	7.43E-06	2.71E-04
positive regulation of gamma-delta T cell differentiation (GO:0045588)	9	8	2.23	+	3.59	9.97E-05	2.53E-03
