




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5114)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
activation-induced cell death of T cells (GO:0006924)	5	5	1.24	+	4.02	9.46E-04	2.40E-02
CD27 signaling pathway (GO:0160162)	5	5	1.24	+	4.02	9.46E-04	2.40E-02
protein ufmylation (GO:0071569)	7	7	1.74	+	4.02	5.83E-05	2.34E-03
positive regulation of monocyte extravasation (GO:2000439)	5	5	1.24	+	4.02	9.46E-04	2.40E-02
protein K69-linked ufmylation (GO:1990592)	5	5	1.24	+	4.02	9.46E-04	2.39E-02
protein polyufmylation (GO:1990564)	5	5	1.24	+	4.02	9.46E-04	2.39E-02
protein storage (GO:0140089)	5	5	1.24	+	4.02	9.46E-04	2.38E-02
enzyme-directed rRNA pseudouridine synthesis (GO:0000455)	6	6	1.49	+	4.02	2.35E-04	7.74E-03
protein localization to condensed chromosome (GO:1903083)	13	12	3.23	+	3.71	5.50E-07	3.40E-05
protein localization to kinetochore (GO:0034501)	13	12	3.23	+	3.71	5.50E-07	3.39E-05
interleukin-9-mediated signaling pathway (GO:0038113)	8	7	1.99	+	3.52	3.65E-04	1.10E-02
interleukin-7-mediated signaling pathway (GO:0038111)	8	7	1.99	+	3.52	3.65E-04	1.10E-02
cellular response to interleukin-9 (GO:0071355)	8	7	1.99	+	3.52	3.65E-04	1.10E-02
positive regulation of granulocyte differentiation (GO:0030854)	8	7	1.99	+	3.52	3.65E-04	1.09E-02
positive regulation of DNA-directed DNA polymerase activity (GO:1900264)	8	7	1.99	+	3.52	3.65E-04	1.09E-02
negative regulation of cell cycle checkpoint (GO:1901977)	7	6	1.74	+	3.45	1.29E-03	3.03E-02
negative T cell selection (GO:0043383)	13	11	3.23	+	3.41	1.03E-05	4.98E-04
protein localization to chromosome, centromeric region (GO:0071459)	25	21	6.21	+	3.38	8.36E-10	9.49E-08
negative thymic T cell selection (GO:0045060)	12	10	2.98	+	3.35	3.53E-05	1.51E-03
double-strand break repair via break-induced replication (GO:0000727)	12	10	2.98	+	3.35	3.53E-05	1.50E-03
CENP-A containing chromatin assembly (GO:0034080)	11	9	2.73	+	3.29	1.19E-04	4.24E-03
protein localization to nucleolus (GO:1902570)	11	9	2.73	+	3.29	1.19E-04	4.23E-03
rRNA pseudouridine synthesis (GO:0031118)	10	8	2.48	+	3.22	3.96E-04	1.18E-02
positive regulation of gamma-delta T cell differentiation (GO:0045588)	9	7	2.24	+	3.13	1.29E-03	3.04E-02
disaccharide metabolic process (GO:0005984)	9	7	2.24	+	3.13	1.29E-03	3.03E-02
response to interleukin-9 (GO:0071104)	9	7	2.24	+	3.13	1.29E-03	3.03E-02
spindle checkpoint signaling (GO:0031577)	31	24	7.70	+	3.12	1.16E-09	1.22E-07
mitotic DNA replication checkpoint signaling (GO:0033314)	13	10	3.23	+	3.10	1.19E-04	4.25E-03
mitochondrial tRNA modification (GO:0070900)	13	10	3.23	+	3.10	1.19E-04	4.24E-03
DNA replication checkpoint signaling (GO:0000076)	26	20	6.46	+	3.10	3.60E-08	2.84E-06
mitotic DNA replication (GO:1902969)	13	10	3.23	+	3.10	1.19E-04	4.23E-03
mitotic spindle assembly checkpoint signaling (GO:0007094)	30	23	7.45	+	3.09	3.65E-09	3.45E-07
mitotic spindle checkpoint signaling (GO:0071174)	30	23	7.45	+	3.09	3.65E-09	3.43E-07
spindle assembly checkpoint signaling (GO:0071173)	30	23	7.45	+	3.09	3.65E-09	3.40E-07
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	17	13	4.22	+	3.08	1.14E-05	5.42E-04
negative regulation of mitotic sister chromatid separation (GO:2000816)	33	25	8.20	+	3.05	1.16E-09	1.25E-07
negative regulation of mitotic sister chromatid segregation (GO:0033048)	33	25	8.20	+	3.05	1.16E-09	1.24E-07
negative regulation of sister chromatid segregation (GO:0033046)	33	25	8.20	+	3.05	1.16E-09	1.23E-07
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	33	25	8.20	+	3.05	1.16E-09	1.22E-07
negative regulation of chromosome segregation (GO:0051985)	36	27	8.95	+	3.02	3.64E-10	4.52E-08
cell cycle DNA replication (GO:0044786)	24	18	5.96	+	3.02	3.46E-07	2.30E-05
positive thymic T cell selection (GO:0045059)	12	9	2.98	+	3.02	3.71E-04	1.11E-02
positive regulation of T cell receptor signaling pathway (GO:0050862)	20	15	4.97	+	3.02	3.47E-06	1.86E-04
negative regulation of mitotic nuclear division (GO:0045839)	40	30	9.94	+	3.02	3.74E-11	5.61E-09
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	35	26	8.70	+	2.99	1.11E-09	1.22E-07
negative regulation of chromosome separation (GO:1905819)	35	26	8.70	+	2.99	1.11E-09	1.21E-07
nuclear DNA replication (GO:0033260)	23	17	5.72	+	2.97	1.05E-06	6.17E-05
inner cell mass cell proliferation (GO:0001833)	15	11	3.73	+	2.95	1.08E-04	3.98E-03
DNA strand elongation involved in DNA replication (GO:0006271)	15	11	3.73	+	2.95	1.08E-04	3.97E-03
multi-ciliated epithelial cell differentiation (GO:1903251)	11	8	2.73	+	2.93	1.13E-03	2.74E-02
regulation of Fc receptor mediated stimulatory signaling pathway (GO:0060368)	11	8	2.73	+	2.93	1.13E-03	2.74E-02
regulation of gamma-delta T cell differentiation (GO:0045586)	11	8	2.73	+	2.93	1.13E-03	2.73E-02
positive regulation of mitotic sister chromatid separation (GO:1901970)	22	16	5.47	+	2.93	3.16E-06	1.71E-04
positive regulation of centriole replication (GO:0046601)	11	8	2.73	+	2.93	1.13E-03	2.73E-02
base-excision repair, gap-filling (GO:0006287)	14	10	3.48	+	2.87	3.22E-04	1.01E-02
attachment of spindle microtubules to kinetochore (GO:0008608)	35	25	8.70	+	2.87	8.90E-09	7.70E-07
positive regulation of T-helper 17 type immune response (GO:2000318)	17	12	4.22	+	2.84	9.31E-05	3.50E-03
female meiosis I (GO:0007144)	13	9	3.23	+	2.79	9.40E-04	2.40E-02
regulation of thymocyte apoptotic process (GO:0070243)	13	9	3.23	+	2.79	9.40E-04	2.39E-02
mitochondrial RNA modification (GO:1900864)	16	11	3.98	+	2.77	2.68E-04	8.50E-03
nucleolus organization (GO:0007000)	15	10	3.73	+	2.68	7.51E-04	1.99E-02
positive regulation of chromosome segregation (GO:0051984)	30	20	7.45	+	2.68	1.61E-06	9.05E-05
epigenetic programming in the zygotic pronuclei (GO:0044725)	15	10	3.73	+	2.68	7.51E-04	1.99E-02
regulation of T-helper 17 cell lineage commitment (GO:2000328)	15	10	3.73	+	2.68	7.51E-04	1.99E-02
negative regulation of nuclear division (GO:0051784)	48	32	11.93	+	2.68	1.18E-09	1.22E-07
positive regulation of chromosome separation (GO:1905820)	33	22	8.20	+	2.68	4.80E-07	3.05E-05
centriole assembly (GO:0098534)	33	22	8.20	+	2.68	4.80E-07	3.04E-05
positive regulation of mitotic metaphase/anaphase transition (GO:0045842)	18	12	4.47	+	2.68	2.16E-04	7.16E-03
positive regulation of antigen receptor-mediated signaling pathway (GO:0050857)	27	18	6.71	+	2.68	5.43E-06	2.80E-04
negative regulation of T cell apoptotic process (GO:0070233)	21	14	5.22	+	2.68	6.27E-05	2.48E-03
centriole replication (GO:0007099)	26	17	6.46	+	2.63	1.47E-05	6.82E-04
cotranslational protein targeting to membrane (GO:0006613)	23	15	5.72	+	2.62	5.00E-05	2.02E-03
dolichol-linked oligosaccharide biosynthetic process (GO:0006488)	20	13	4.97	+	2.62	1.71E-04	5.84E-03
deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290)	20	13	4.97	+	2.62	1.71E-04	5.82E-03
mitochondrial tRNA processing (GO:0090646)	17	11	4.22	+	2.60	5.88E-04	1.64E-02
pyrimidine nucleoside monophosphate biosynthetic process (GO:0009130)	17	11	4.22	+	2.60	5.88E-04	1.64E-02
regulation of mitotic sister chromatid separation (GO:0010965)	70	45	17.39	+	2.59	3.47E-12	6.30E-10
mRNA methylguanosine-cap decapping (GO:0110156)	22	14	5.47	+	2.56	1.33E-04	4.68E-03
positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101)	19	12	4.72	+	2.54	4.53E-04	1.33E-02
positive T cell selection (GO:0043368)	35	22	8.70	+	2.53	2.14E-06	1.19E-04
regulation of granulocyte differentiation (GO:0030852)	16	10	3.98	+	2.52	1.56E-03	3.57E-02
oligosaccharide catabolic process (GO:0009313)	16	10	3.98	+	2.52	1.56E-03	3.57E-02
regulation of chromosome separation (GO:1905818)	85	53	21.12	+	2.51	2.61E-13	5.67E-11
DNA replication initiation (GO:0006270)	29	18	7.21	+	2.50	2.36E-05	1.06E-03
blastocyst growth (GO:0001832)	21	13	5.22	+	2.49	3.46E-04	1.07E-02
regulation of DNA-templated DNA replication initiation (GO:0030174)	21	13	5.22	+	2.49	3.46E-04	1.07E-02
