




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5121)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of gastric acid secretion (GO:0060455)	4	4	1.00	+	4.02	3.83E-03	3.86E-02
somatic diversification of T cell receptor genes (GO:0002568)	4	4	1.00	+	4.02	3.83E-03	3.86E-02
mast cell chemotaxis (GO:0002551)	4	4	1.00	+	4.02	3.83E-03	3.86E-02
lipoxin biosynthetic process (GO:2001301)	4	4	1.00	+	4.02	3.83E-03	3.85E-02
optic nerve morphogenesis (GO:0021631)	6	6	1.49	+	4.02	2.37E-04	4.01E-03
glossopharyngeal nerve morphogenesis (GO:0021615)	4	4	1.00	+	4.02	3.83E-03	3.85E-02
negative regulation of neutrophil migration (GO:1902623)	5	5	1.24	+	4.02	9.53E-04	1.28E-02
adenylate cyclase-inhibiting adrenergic receptor signaling pathway (GO:0071881)	5	5	1.24	+	4.02	9.53E-04	1.28E-02
glossopharyngeal nerve development (GO:0021563)	4	4	1.00	+	4.02	3.83E-03	3.85E-02
pattern specification involved in metanephros development (GO:0072268)	4	4	1.00	+	4.02	3.83E-03	3.85E-02
positive regulation of sarcomere organization (GO:0060298)	5	5	1.24	+	4.02	9.53E-04	1.28E-02
regulation of hippocampal neuron apoptotic process (GO:0110089)	4	4	1.00	+	4.02	3.83E-03	3.84E-02
pro-B cell differentiation (GO:0002328)	4	4	1.00	+	4.02	3.83E-03	3.84E-02
positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis (GO:0072108)	4	4	1.00	+	4.02	3.83E-03	3.84E-02
negative regulation of granulocyte chemotaxis (GO:0071623)	4	4	1.00	+	4.02	3.83E-03	3.83E-02
response to psychosocial stress (GO:1990911)	4	4	1.00	+	4.02	3.83E-03	3.83E-02
specification of loop of Henle identity (GO:0072086)	4	4	1.00	+	4.02	3.83E-03	3.83E-02
specification of nephron tubule identity (GO:0072081)	5	5	1.24	+	4.02	9.53E-04	1.28E-02
renal system pattern specification (GO:0072048)	8	8	1.99	+	4.02	1.46E-05	3.53E-04
proximal/distal pattern formation involved in nephron development (GO:0072047)	5	5	1.24	+	4.02	9.53E-04	1.28E-02
negative regulation of mesenchymal cell apoptotic process involved in nephron morphogenesis (GO:0072040)	4	4	1.00	+	4.02	3.83E-03	3.83E-02
regulation of mesenchymal cell apoptotic process involved in nephron morphogenesis (GO:0072039)	4	4	1.00	+	4.02	3.83E-03	3.82E-02
protein localization to paranode region of axon (GO:0002175)	4	4	1.00	+	4.02	3.83E-03	3.82E-02
gamma-aminobutyric acid reuptake (GO:0051936)	4	4	1.00	+	4.02	3.83E-03	3.82E-02
regulation of acetylcholine secretion, neurotransmission (GO:0014056)	4	4	1.00	+	4.02	3.83E-03	3.82E-02
T cell receptor V(D)J recombination (GO:0033153)	4	4	1.00	+	4.02	3.83E-03	3.81E-02
regulation of neutrophil mediated killing of symbiont cell (GO:0070949)	4	4	1.00	+	4.02	3.83E-03	3.81E-02
ovarian cumulus expansion (GO:0001550)	4	4	1.00	+	4.02	3.83E-03	3.81E-02
regulation of timing of catagen (GO:0051794)	4	4	1.00	+	4.02	3.83E-03	3.81E-02
positive regulation of killing of cells of another organism (GO:0051712)	4	4	1.00	+	4.02	3.83E-03	3.80E-02
regulation of killing of cells of another organism (GO:0051709)	5	5	1.24	+	4.02	9.53E-04	1.28E-02
atrial cardiac muscle cell membrane repolarization (GO:0099624)	5	5	1.24	+	4.02	9.53E-04	1.28E-02
positive regulation of hair follicle maturation (GO:0048818)	5	5	1.24	+	4.02	9.53E-04	1.28E-02
prostaglandin secretion (GO:0032310)	4	4	1.00	+	4.02	3.83E-03	3.80E-02
AMPA selective glutamate receptor signaling pathway (GO:0098990)	5	5	1.24	+	4.02	9.53E-04	1.27E-02
membrane repolarization during atrial cardiac muscle cell action potential (GO:0098914)	5	5	1.24	+	4.02	9.53E-04	1.27E-02
regulation of negative chemotaxis (GO:0050923)	5	5	1.24	+	4.02	9.53E-04	1.27E-02
negative regulation of neutrophil chemotaxis (GO:0090024)	4	4	1.00	+	4.02	3.83E-03	3.80E-02
positive regulation of relaxation of muscle (GO:1901079)	5	5	1.24	+	4.02	9.53E-04	1.27E-02
9-cis-retinoic acid metabolic process (GO:0042905)	4	4	1.00	+	4.02	3.83E-03	3.80E-02
