Gene stable ID,Mouse gene stable ID,Mouse homology type,Mouse Gene-order conservation score,EuclidDist,EuclidDistNorm,EuclidDistLog,PearDist,TEC,Num Human Dupes,Num Mouse Dupes,Duplicated Species,Human Gene Type,Mouse Gene Type,Parental,Daughter,ID,Label,+/-
ENSG00000065135,ENSMUSG00000000001,ortholog_one2one,100.0,197.74644543310563,0.2785610024616405,6.701998812961174,0.15144210224270016,0.0,1.0,1,NA,protein_coding,protein_coding,False,False,GO:0007165,signal transduction,+
ENSG00000093009,ENSMUSG00000000028,ortholog_one2one,100.0,24.53361619830282,1.0248160347186028,5.058506728512269,1.0016377872613482,0.25,1.0,1,NA,protein_coding,protein_coding,False,False,nan,nan,nan
ENSG00000102098,ENSMUSG00000000037,ortholog_one2one,100.0,2.08463941533528,0.47162805719796863,1.4445419133477317,0.16178587168043612,0.16666666666666666,1.0,1,NA,protein_coding,protein_coding,False,False,GO:0006355,regulation of DNA-templated transcription,-
ENSG00000091583,ENSMUSG00000000049,ortholog_one2one,100.0,1776.5464009686261,0.0023158570228250185,2.5163805465510176,3.0383148101886803e-06,0.5,1.0,1,NA,protein_coding,protein_coding,False,False,nan,nan,nan
ENSG00000141562,ENSMUSG00000000056,ortholog_one2one,100.0,70.95029573796678,0.5251387596631193,3.5114212564745904,0.6615620062966243,0.0,1.0,1,NA,protein_coding,protein_coding,False,False,nan,nan,nan
ENSG00000105971,ENSMUSG00000000058,ortholog_one2one,100.0,92.76178531333092,0.5728861410835414,5.1308098310933,0.5529900063815545,0.0,1.0,1,NA,protein_coding,protein_coding,False,False,nan,nan,nan
ENSG00000067082,ENSMUSG00000000078,ortholog_one2one,100.0,91.84086200593876,0.48227927915368396,4.186432805657241,0.261829695372675,0.0,1.0,1,NA,protein_coding,protein_coding,False,False,nan,nan,nan
ENSG00000010803,ENSMUSG00000000085,ortholog_one2one,100.0,80.76383974994928,0.6110137578509842,4.419498368349353,0.6686244196127993,0.0,1.0,1,NA,protein_coding,protein_coding,False,False,GO:0006355,regulation of DNA-templated transcription,-
ENSG00000178741,ENSMUSG00000000088,ortholog_one2one,100.0,1659.240615197428,0.2080721065635111,5.583765685546812,0.08954252178510547,0.0,1.0,1,NA,protein_coding,protein_coding,False,False,nan,nan,nan
ENSG00000121068,ENSMUSG00000000093,ortholog_one2one,100.0,47.7869835965428,0.45416446016363865,4.457730713299712,0.1710971535429463,0.125,1.0,1,NA,protein_coding,protein_coding,False,False,"GO:0006355, GO:0022008","regulation of DNA-templated transcription, neurogenesis","-, -"
ENSG00000121075,ENSMUSG00000000094,ortholog_one2one,100.0,4.558539647535655,0.6692654497357515,2.4299179465281155,0.21962701436409815,,1.0,1,NA,protein_coding,protein_coding,False,False,GO:0006355,regulation of DNA-templated transcription,-
ENSG00000083828,ENSMUSG00000000103,ortholog_many2many,0.0,11.836059351641223,,5.782166114792676,,,21.0,2,NA,protein_coding,protein_coding,False,False,GO:0006355,regulation of DNA-templated transcription,-
ENSG00000105136,ENSMUSG00000000103,ortholog_many2many,0.0,13.788854938655255,,6.453330171362527,,,21.0,2,NA,protein_coding,protein_coding,False,False,"GO:0006355, GO:0080090","regulation of DNA-templated transcription, regulation of primary metabolic process","-, -"
ENSG00000121406,ENSMUSG00000000103,ortholog_many2many,0.0,5.564559077790467,,3.8909149744264924,,,21.0,2,NA,protein_coding,protein_coding,False,False,GO:0006355,regulation of DNA-templated transcription,-
ENSG00000131845,ENSMUSG00000000103,ortholog_many2many,0.0,15.933475087052525,,6.793219033538634,,,21.0,2,NA,protein_coding,protein_coding,False,False,GO:0006355,regulation of DNA-templated transcription,-
ENSG00000152439,ENSMUSG00000000103,ortholog_many2many,0.0,3.7166619517912736,,3.025869241705488,,,21.0,2,NA,protein_coding,protein_coding,False,False,"GO:0006355, GO:0080090","regulation of DNA-templated transcription, regulation of primary metabolic process","-, -"
ENSG00000152454,ENSMUSG00000000103,ortholog_many2many,0.0,10.965528847315923,,5.720429713943377,,,21.0,2,NA,protein_coding,protein_coding,False,False,GO:0006355,regulation of DNA-templated transcription,-
ENSG00000152475,ENSMUSG00000000103,ortholog_many2many,0.0,8.372939430339962,,4.966345545253307,,,21.0,2,NA,protein_coding,protein_coding,False,False,nan,nan,nan
ENSG00000167554,ENSMUSG00000000103,ortholog_many2many,0.0,4.910690844975637,,3.511744385197423,,,21.0,2,NA,protein_coding,protein_coding,False,False,GO:0006355,regulation of DNA-templated transcription,-
ENSG00000171466,ENSMUSG00000000103,ortholog_many2many,0.0,4.432308130394174,,3.395211065526033,,,21.0,2,NA,protein_coding,protein_coding,False,False,"GO:0006355, GO:0080090","regulation of DNA-templated transcription, regulation of primary metabolic process","-, -"
ENSG00000171469,ENSMUSG00000000103,ortholog_many2many,0.0,26.9380339665955,,8.307060330730815,,,21.0,2,NA,protein_coding,protein_coding,False,False,"GO:0006355, GO:0080090","regulation of DNA-templated transcription, regulation of primary metabolic process","-, -"
ENSG00000171574,ENSMUSG00000000103,ortholog_many2many,0.0,12.153935998530429,,6.141723007914601,,,21.0,2,NA,protein_coding,protein_coding,False,False,GO:0006355,regulation of DNA-templated transcription,-
ENSG00000178935,ENSMUSG00000000103,ortholog_many2many,0.0,18.63117323483447,,5.662565925473207,,,21.0,2,NA,protein_coding,protein_coding,False,False,GO:0006355,regulation of DNA-templated transcription,-
ENSG00000179909,ENSMUSG00000000103,ortholog_many2many,0.0,12.099561532674972,,5.8502735346942165,,,21.0,2,NA,protein_coding,protein_coding,False,False,GO:0006355,regulation of DNA-templated transcription,-
ENSG00000180884,ENSMUSG00000000103,ortholog_many2many,0.0,5.116053569810194,,3.659690268241241,,,21.0,2,NA,protein_coding,protein_coding,False,False,GO:0006355,regulation of DNA-templated transcription,-
ENSG00000188227,ENSMUSG00000000103,ortholog_many2many,0.0,5.206155513147347,,3.742997054206568,,,21.0,2,NA,protein_coding,protein_coding,False,False,"GO:0006355, GO:0080090","regulation of DNA-templated transcription, regulation of primary metabolic process","-, -"
