Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Gene type
ENSMUSG00000024304	ENSMUSG00000024304.15	ENSMUST00000025166	ENSMUST00000025166.14	protein_coding
ENSMUSG00000024304	ENSMUSG00000024304.15	ENSMUST00000152779	ENSMUST00000152779.2	protein_coding
ENSMUSG00000024304	ENSMUSG00000024304.15	ENSMUST00000115850	ENSMUST00000115850.2	protein_coding
ENSMUSG00000025075	ENSMUSG00000025075.15	ENSMUST00000078284	ENSMUST00000078284.13	protein_coding
ENSMUSG00000025075	ENSMUSG00000025075.15	ENSMUST00000095948	ENSMUST00000095948.11	protein_coding
ENSMUSG00000025075	ENSMUSG00000025075.15	ENSMUST00000165407	ENSMUST00000165407.2	protein_coding
ENSMUSG00000025075	ENSMUSG00000025075.15	ENSMUST00000171341	ENSMUST00000171341.8	protein_coding
ENSMUSG00000025075	ENSMUSG00000025075.15	ENSMUST00000166049	ENSMUST00000166049.8	protein_coding
ENSMUSG00000025075	ENSMUSG00000025075.15	ENSMUST00000163502	ENSMUST00000163502.8	protein_coding
ENSMUSG00000025075	ENSMUSG00000025075.15	ENSMUST00000165522	ENSMUST00000165522.2	protein_coding
ENSMUSG00000024943	ENSMUSG00000024943.10	ENSMUST00000087556	ENSMUST00000087556.7	protein_coding
ENSMUSG00000024943	ENSMUSG00000024943.10	ENSMUST00000223934	ENSMUST00000223934.2	protein_coding
ENSMUSG00000024943	ENSMUSG00000024943.10	ENSMUST00000226111	ENSMUST00000226111.2	protein_coding
ENSMUSG00000024943	ENSMUSG00000024943.10	ENSMUST00000224008	ENSMUST00000224008.2	protein_coding
ENSMUSG00000024943	ENSMUSG00000024943.10	ENSMUST00000224441	ENSMUST00000224441.2	protein_coding
ENSMUSG00000024943	ENSMUSG00000024943.10	ENSMUST00000224723	ENSMUST00000224723.2	protein_coding
ENSMUSG00000022820	ENSMUSG00000022820.5	ENSMUST00000023514	ENSMUST00000023514.4	protein_coding
ENSMUSG00000022820	ENSMUSG00000022820.5	ENSMUST00000135019	ENSMUST00000135019.2	protein_coding
ENSMUSG00000022820	ENSMUSG00000022820.5	ENSMUST00000231881	ENSMUST00000231881.2	protein_coding
ENSMUSG00000001700	ENSMUSG00000001700.11	ENSMUST00000237355	ENSMUST00000237355.2	protein_coding
ENSMUSG00000001700	ENSMUSG00000001700.11	ENSMUST00000237422	ENSMUST00000237422.2	protein_coding
