,Gene stable ID,Mouse gene stable ID,Mouse homology type,Mouse Gene-order conservation score,EuclidDist,EuclidDistNorm,EuclidDistLog,PearDist,TEC,Num Human Dupes,Num Mouse Dupes,Duplicated Species,Human Gene Type,Mouse Gene Type
0,ENSG00000065135,ENSMUSG00000000001,ortholog_one2one,100.0,197.74644543310563,0.004395565835559015,2.3127187813888477,0.15144204172792275,0.0,1.0,1,NA,protein_coding,protein_coding
1,ENSG00000093009,ENSMUSG00000000028,ortholog_one2one,100.0,24.53361619830282,0.00041215144077087957,3.1881867436065554,1.0016377830624563,0.1875,1.0,1,NA,protein_coding,protein_coding
2,ENSG00000102098,ENSMUSG00000000037,ortholog_one2one,100.0,2.08463941533528,7.261758618789572e-05,1.4354717003784139,0.16178589072974225,0.0625,1.0,1,NA,protein_coding,protein_coding
3,ENSG00000091583,ENSMUSG00000000049,ortholog_one2one,100.0,1776.5464009686261,0.0029758119456837237,4.951116709456696,2.964536596872236e-06,0.25,1.0,1,NA,protein_coding,protein_coding
4,ENSG00000141562,ENSMUSG00000000056,ortholog_one2one,100.0,70.95029573796678,0.0017838155445685845,2.9335930763110274,0.6615620041296382,0.0,1.0,1,NA,protein_coding,protein_coding
5,ENSG00000105971,ENSMUSG00000000058,ortholog_one2one,100.0,92.76178531333092,0.002192221161850414,2.95302236511919,0.5529899979781329,0.0,1.0,1,NA,protein_coding,protein_coding
6,ENSG00000067082,ENSMUSG00000000078,ortholog_one2one,100.0,91.84086200593876,0.003209298672691719,6.425445614432841,0.26182967500586307,0.0,1.0,1,NA,protein_coding,protein_coding
7,ENSG00000010803,ENSMUSG00000000085,ortholog_one2one,100.0,80.76383974994928,0.0025721093882600772,4.829536204239583,0.6686244069553298,0.0,1.0,1,NA,protein_coding,protein_coding
8,ENSG00000178741,ENSMUSG00000000088,ortholog_one2one,100.0,1659.240615197428,0.03286776574863611,2.459412921473649,0.08954249863817054,0.0,1.0,1,NA,protein_coding,protein_coding
9,ENSG00000121068,ENSMUSG00000000093,ortholog_one2one,100.0,47.7869835965428,0.0003463592068769728,6.095580936994839,0.17109718739997515,0.125,1.0,1,NA,protein_coding,protein_coding
10,ENSG00000121075,ENSMUSG00000000094,ortholog_one2one,100.0,4.558539647535655,8.355625446698216e-05,1.6521820947143553,0.21962700230348475,0.125,1.0,1,NA,protein_coding,protein_coding
11,ENSG00000083828,ENSMUSG00000000103,ortholog_many2many,0.0,11.824353272012756,9.649649127195975e-05,5.769301312267865,0.8504800569995032,0.5,21.0,2,NA,protein_coding,protein_coding
53,ENSG00000105136,ENSMUSG00000000103,ortholog_many2many,0.0,13.779179145894751,0.00010379250966053093,6.441986862148316,1.1172694569890451,0.5,21.0,2,NA,protein_coding,protein_coding
95,ENSG00000121406,ENSMUSG00000000103,ortholog_many2many,0.0,5.553999676610184,4.261453119293271e-05,3.879065045790358,0.9626770994537127,0.375,21.0,2,NA,protein_coding,protein_coding
137,ENSG00000131845,ENSMUSG00000000103,ortholog_many2many,0.0,15.921238618283954,0.0001313303158609285,6.780213021031575,0.778202565991672,0.5,21.0,2,NA,protein_coding,protein_coding
179,ENSG00000152439,ENSMUSG00000000103,ortholog_many2many,0.0,3.705089011258278,3.0649963061448336e-05,3.013384054879258,0.8568763343532567,0.3125,21.0,2,NA,protein_coding,protein_coding
221,ENSG00000152454,ENSMUSG00000000103,ortholog_many2many,0.0,10.951114465951314,8.890288692191546e-05,5.70625911497712,0.4913676333218854,0.5,21.0,2,NA,protein_coding,protein_coding
263,ENSG00000152475,ENSMUSG00000000103,ortholog_many2many,0.0,8.366449476007631,6.298858260808381e-05,4.958267612996551,1.5525219343015761,0.4375,21.0,2,NA,protein_coding,protein_coding
305,ENSG00000167554,ENSMUSG00000000103,ortholog_many2many,0.0,4.901407253298398,3.3594885912863906e-05,3.500482712563892,1.0001588666137913,0.375,21.0,2,NA,protein_coding,protein_coding
347,ENSG00000171466,ENSMUSG00000000103,ortholog_many2many,0.0,4.422072179062569,3.800462947897968e-05,3.3838090757085135,1.0327039560093874,0.375,21.0,2,NA,protein_coding,protein_coding
389,ENSG00000171469,ENSMUSG00000000103,ortholog_many2many,0.0,26.928108585017043,0.00023557211400288127,8.295388626968084,1.0434382673652751,0.5,21.0,2,NA,protein_coding,protein_coding
431,ENSG00000171574,ENSMUSG00000000103,ortholog_many2many,0.0,12.141711880844149,9.753387207970117e-05,6.128951757849793,0.772496897794542,0.5,21.0,2,NA,protein_coding,protein_coding
473,ENSG00000178935,ENSMUSG00000000103,ortholog_many2many,0.0,18.62465298547632,0.00014447712215032084,5.651076699444004,1.1665440960863616,0.5,21.0,2,NA,protein_coding,protein_coding
515,ENSG00000179909,ENSMUSG00000000103,ortholog_many2many,0.0,12.087279906777983,0.00010456377298988484,5.837273113548002,0.7538413149007628,0.4375,21.0,2,NA,protein_coding,protein_coding
557,ENSG00000180884,ENSMUSG00000000103,ortholog_many2many,0.0,5.103890816409628,4.2053938114153835e-05,3.6468198666683262,0.7820950287289883,0.375,21.0,2,NA,protein_coding,protein_coding
599,ENSG00000188227,ENSMUSG00000000103,ortholog_many2many,0.0,5.196634118541669,3.950819887555568e-05,3.731944473185166,1.041756049402108,0.375,21.0,2,NA,protein_coding,protein_coding
641,ENSG00000188785,ENSMUSG00000000103,ortholog_many2many,0.0,13.68907931004076,0.00011447073387793524,6.304964312636677,0.629850884027986,0.5,21.0,2,NA,protein_coding,protein_coding
683,ENSG00000196724,ENSMUSG00000000103,ortholog_many2many,0.0,9.478108160423645,7.255713675281413e-05,5.40527768746089,0.8562816672004212,0.5,21.0,2,NA,protein_coding,protein_coding
725,ENSG00000197128,ENSMUSG00000000103,ortholog_many2many,0.0,5.568945557430299,3.9951626177713004e-05,4.043270833665855,0.8330895443746469,0.375,21.0,2,NA,protein_coding,protein_coding
767,ENSG00000198464,ENSMUSG00000000103,ortholog_many2many,0.0,14.924934447669052,0.00012233926355442428,6.6698887664744015,0.7383052950466067,0.5,21.0,2,NA,protein_coding,protein_coding
809,ENSG00000213762,ENSMUSG00000000103,ortholog_many2many,0.0,19.477255207845367,0.0001632537672487807,7.341068447427696,0.8275437510811726,0.5,21.0,2,NA,protein_coding,protein_coding
851,ENSG00000269343,ENSMUSG00000000103,ortholog_many2many,0.0,9.520514274135488,7.52937837365869e-05,5.204331915877265,1.16212845981093,0.5,21.0,2,NA,protein_coding,protein_coding
893,ENSG00000064300,ENSMUSG00000000120,ortholog_one2one,100.0,48.81722930970179,0.00030986914945815364,8.243794175956399,0.49887697240433004,0.125,1.0,1,NA,protein_coding,protein_coding
894,ENSG00000108379,ENSMUSG00000000125,ortholog_one2one,100.0,7.9832898505182115,0.0001620835601503577,3.7149156985701035,0.7246692909600222,0.1875,1.0,1,NA,protein_coding,protein_coding
895,ENSG00000143816,ENSMUSG00000000126,ortholog_one2one,100.0,30.406941673573233,0.0003096932507748232,5.066380227398132,0.8039160736210968,0.1875,1.0,1,NA,protein_coding,protein_coding
896,ENSG00000151422,ENSMUSG00000000127,ortholog_one2one,100.0,28.830203991273926,0.0006810164533063857,1.4212126414864827,0.2217431117675579,0.125,1.0,1,NA,protein_coding,protein_coding
897,ENSG00000169180,ENSMUSG00000000131,ortholog_one2one,75.0,177.84473031410184,0.005166788905113431,2.9384477719140265,0.4821034339992266,0.0,1.0,1,NA,protein_coding,protein_coding
898,ENSG00000068323,ENSMUSG00000000134,ortholog_one2one,100.0,81.14729483978508,0.0008206206126752707,6.8524277992505835,0.13724236452466076,0.0,1.0,1,NA,protein_coding,protein_coding
899,ENSG00000168646,ENSMUSG00000000142,ortholog_one2one,100.0,21.284825367150308,0.0008216923866643362,2.6327759186705246,0.37701616275218064,0.125,1.0,1,NA,protein_coding,protein_coding
900,ENSG00000106009,ENSMUSG00000000148,ortholog_one2one,25.0,62.91770257714755,0.0004999398300771817,7.486483513788826,0.7143388649348577,0.0625,1.0,1,NA,protein_coding,protein_coding
901,ENSG00000146535,ENSMUSG00000000149,ortholog_one2one,50.0,112.68099952731909,0.002939864736228886,2.826678750778427,0.5683857943752992,0.0,1.0,1,NA,protein_coding,protein_coding
