Human ID,Mouse ID
ENSG00000197265,ENSMUSG00000028259
ENSG00000204363,ENSMUSG00000055923
ENSG00000100568,ENSMUSG00000069184
ENSG00000278615,ENSMUSG00000094821
ENSG00000205707,ENSMUSG00000041798
ENSG00000135253,ENSMUSG00000008845
ENSG00000163214,ENSMUSG00000040128
ENSG00000239713,ENSMUSG00000036907
ENSG00000189334,ENSMUSG00000030695
ENSG00000099834,ENSMUSG00000066107
ENSG00000244362,ENSMUSG00000024041
ENSG00000278646,ENSMUSG00000095774
ENSG00000077312,ENSMUSG00000041911
ENSG00000176986,ENSMUSG00000021277
ENSG00000101412,ENSMUSG00000095675
ENSG00000073060,ENSMUSG00000051853
ENSG00000214042,ENSMUSG00000050954
ENSG00000109756,ENSMUSG00000041358
ENSG00000130332,ENSMUSG00000002565
ENSG00000153879,ENSMUSG00000031492
ENSG00000198125,ENSMUSG00000063535
ENSG00000112290,ENSMUSG00000030409
ENSG00000168676,ENSMUSG00000028175
ENSG00000169359,ENSMUSG00000048387
ENSG00000162129,ENSMUSG00000094098
ENSG00000100883,ENSMUSG00000025060
ENSG00000006459,ENSMUSG00000025043
ENSG00000214491,ENSMUSG00000022246
ENSG00000164318,ENSMUSG00000031342
ENSG00000130475,ENSMUSG00000025104
ENSG00000160695,ENSMUSG00000081683
ENSG00000197594,ENSMUSG00000103442
ENSG00000169972,ENSMUSG00000036027
ENSG00000181449,ENSMUSG00000037225
ENSG00000196550,ENSMUSG00000096151
ENSG00000182916,ENSMUSG00000061974
ENSG00000170689,ENSMUSG00000019210
ENSG00000166435,ENSMUSG00000075267
ENSG00000175063,ENSMUSG00000018697
ENSG00000170381,ENSMUSG00000052749
ENSG00000139890,ENSMUSG00000046417
ENSG00000160785,ENSMUSG00000042763
ENSG00000119878,ENSMUSG00000058558
ENSG00000171017,ENSMUSG00000062931
ENSG00000154451,ENSMUSG00000095821
ENSG00000052850,ENSMUSG00000024725
ENSG00000185897,ENSMUSG00000053930
ENSG00000149926,ENSMUSG00000091618
ENSG00000188549,ENSMUSG00000047945
ENSG00000163810,ENSMUSG00000025260
ENSG00000248713,ENSMUSG00000070815
ENSG00000180210,ENSMUSG00000030020
ENSG00000244731,ENSMUSG00000100713
ENSG00000183688,ENSMUSG00000025912
ENSG00000146733,ENSMUSG00000022054
ENSG00000119318,ENSMUSG00000027863
ENSG00000173480,ENSMUSG00000002733
ENSG00000111602,ENSMUSG00000043998
ENSG00000046889,ENSMUSG00000090071
ENSG00000111816,ENSMUSG00000022753
ENSG00000176155,ENSMUSG00000025489
ENSG00000213638,ENSMUSG00000026180
ENSG00000136881,ENSMUSG00000028973
ENSG00000107021,ENSMUSG00000073900
ENSG00000189252,ENSMUSG00000001270
ENSG00000158748,ENSMUSG00000032118
ENSG00000087884,ENSMUSG00000039159
ENSG00000187486,ENSMUSG00000001323
ENSG00000132463,ENSMUSG00000020460
ENSG00000225556,ENSMUSG00000073969
ENSG00000158545,ENSMUSG00000079243
ENSG00000162552,ENSMUSG00000034848
ENSG00000205718,ENSMUSG00000078974
ENSG00000181785,ENSMUSG00000066279
ENSG00000164237,ENSMUSG00000030224
ENSG00000174579,ENSMUSG00000022021
ENSG00000223658,ENSMUSG00000040877
ENSG00000206102,ENSMUSG00000050106
ENSG00000115956,ENSMUSG00000033720
ENSG00000031698,ENSMUSG00000025592
ENSG00000075073,ENSMUSG00000029073
ENSG00000091490,ENSMUSG00000026189
ENSG00000177426,ENSMUSG00000061906
ENSG00000002746,ENSMUSG00000023150
ENSG00000134352,ENSMUSG00000005483
ENSG00000162881,ENSMUSG00000002820
ENSG00000166963,ENSMUSG00000021078
ENSG00000275663,ENSMUSG00000030144
ENSG00000105974,ENSMUSG00000020758
ENSG00000215529,ENSMUSG00000002900
ENSG00000282936,ENSMUSG00000079625
ENSG00000141179,ENSMUSG00000094447
ENSG00000110367,ENSMUSG00000031545
ENSG00000185483,ENSMUSG00000062892
ENSG00000100796,ENSMUSG00000066232
ENSG00000143889,ENSMUSG00000003269
ENSG00000183172,ENSMUSG00000050315
ENSG00000196781,ENSMUSG00000096210
ENSG00000147869,ENSMUSG00000075192
ENSG00000174738,ENSMUSG00000006373
ENSG00000171450,ENSMUSG00000021622
ENSG00000138594,ENSMUSG00000037211
ENSG00000174327,ENSMUSG00000040044
ENSG00000050165,ENSMUSG00000033565
ENSG00000182634,ENSMUSG00000079436
ENSG00000137752,ENSMUSG00000020953
ENSG00000181585,ENSMUSG00000050608
ENSG00000000971,ENSMUSG00000026200
ENSG00000204983,ENSMUSG00000063376
ENSG00000186166,ENSMUSG00000033732
ENSG00000160606,ENSMUSG00000091656
ENSG00000104998,ENSMUSG00000026098
ENSG00000145506,ENSMUSG00000041625
ENSG00000164197,ENSMUSG00000021932
ENSG00000119681,ENSMUSG00000006262
ENSG00000205426,ENSMUSG00000094570
ENSG00000165282,ENSMUSG00000071537
ENSG00000226887,ENSMUSG00000071516
ENSG00000261667,ENSMUSG00000030275
ENSG00000196839,ENSMUSG00000004187
ENSG00000186847,ENSMUSG00000059183
ENSG00000196277,ENSMUSG00000028832
ENSG00000110315,ENSMUSG00000103371
ENSG00000135709,ENSMUSG00000048562
ENSG00000184209,ENSMUSG00000055707
ENSG00000144034,ENSMUSG00000095601
ENSG00000146576,ENSMUSG00000047026
ENSG00000172650,ENSMUSG00000007815
ENSG00000178175,ENSMUSG00000021013
ENSG00000158497,ENSMUSG00000037653
ENSG00000258992,ENSMUSG00000000902
ENSG00000127948,ENSMUSG00000006342
ENSG00000163631,ENSMUSG00000065968
ENSG00000228567,ENSMUSG00000045576
ENSG00000163395,ENSMUSG00000056457
ENSG00000156239,ENSMUSG00000047281
ENSG00000166501,ENSMUSG00000028540
ENSG00000124496,ENSMUSG00000025013
ENSG00000132854,ENSMUSG00000078554
ENSG00000159842,ENSMUSG00000035726
ENSG00000224383,ENSMUSG00000020385
ENSG00000121486,ENSMUSG00000047257
ENSG00000139187,ENSMUSG00000029458
ENSG00000272325,ENSMUSG00000108995
