Gene stable ID	Human gene stable ID	Human Gene-order conservation score
ENSMUSG00000064336		
ENSMUSG00000064337		
ENSMUSG00000064338		
ENSMUSG00000064339		
ENSMUSG00000064340		
ENSMUSG00000064341	ENSG00000198888	50
ENSMUSG00000064342		
ENSMUSG00000064343		
ENSMUSG00000064344		
ENSMUSG00000064345	ENSG00000198763	75
ENSMUSG00000064346		
ENSMUSG00000064347		
ENSMUSG00000064348		
ENSMUSG00000064349		
ENSMUSG00000064350		
ENSMUSG00000064351	ENSG00000198804	100
ENSMUSG00000064352		
ENSMUSG00000064353		
ENSMUSG00000064354	ENSG00000198712	100
ENSMUSG00000064355		
ENSMUSG00000064356	ENSG00000228253	100
ENSMUSG00000064357	ENSG00000198899	100
ENSMUSG00000064358	ENSG00000198938	100
ENSMUSG00000064359		
ENSMUSG00000064360	ENSG00000198840	100
ENSMUSG00000064361		
ENSMUSG00000065947	ENSG00000212907	100
ENSMUSG00000064363	ENSG00000198886	100
ENSMUSG00000064364		
ENSMUSG00000064365		
ENSMUSG00000064366		
ENSMUSG00000064367	ENSG00000198786	100
ENSMUSG00000064368	ENSG00000198695	75
ENSMUSG00000064369		
ENSMUSG00000064370	ENSG00000198727	50
ENSMUSG00000064371		
ENSMUSG00000064372		
ENSMUSG00002075400		
ENSMUSG00000094722	ENSG00000204479	0
ENSMUSG00000094722	ENSG00000116726	0
ENSMUSG00000094722	ENSG00000116721	0
ENSMUSG00000094722	ENSG00000204480	0
ENSMUSG00000094722	ENSG00000204478	0
ENSMUSG00000094722	ENSG00000232423	0
ENSMUSG00000094722	ENSG00000279804	0
ENSMUSG00000094722	ENSG00000187545	0
ENSMUSG00000094722	ENSG00000120952	0
ENSMUSG00000094722	ENSG00000237700	0
ENSMUSG00000094722	ENSG00000239810	0
ENSMUSG00000094722	ENSG00000280267	0
ENSMUSG00000094722	ENSG00000204505	0
ENSMUSG00000094722	ENSG00000279169	0
ENSMUSG00000094722	ENSG00000270601	0
ENSMUSG00000094722	ENSG00000243073	0
ENSMUSG00000094722	ENSG00000229571	0
ENSMUSG00000094722	ENSG00000204481	0
ENSMUSG00000094722	ENSG00000182330	0
ENSMUSG00000094722	ENSG00000204501	0
ENSMUSG00000094722	ENSG00000274764	0
ENSMUSG00000094722	ENSG00000204510	0
ENSMUSG00000096776		
ENSMUSG00000094741	ENSG00000204479	0
ENSMUSG00000094741	ENSG00000116726	0
ENSMUSG00000094741	ENSG00000116721	0
ENSMUSG00000094741	ENSG00000204480	0
ENSMUSG00000094741	ENSG00000204478	0
ENSMUSG00000094741	ENSG00000232423	0
ENSMUSG00000094741	ENSG00000279804	0
ENSMUSG00000094741	ENSG00000187545	0
ENSMUSG00000094741	ENSG00000120952	0
ENSMUSG00000094741	ENSG00000237700	0
ENSMUSG00000094741	ENSG00000239810	0
ENSMUSG00000094741	ENSG00000280267	0
ENSMUSG00000094741	ENSG00000204505	0
ENSMUSG00000094741	ENSG00000279169	0
ENSMUSG00000094741	ENSG00000270601	0
ENSMUSG00000094741	ENSG00000243073	0
ENSMUSG00000094741	ENSG00000229571	0
ENSMUSG00000094741	ENSG00000204481	0
ENSMUSG00000094741	ENSG00000182330	0
ENSMUSG00000094741	ENSG00000204501	0
ENSMUSG00000094741	ENSG00000274764	0
ENSMUSG00000094741	ENSG00000204510	0
ENSMUSG00002074899		
ENSMUSG00002074970		
ENSMUSG00002076890		
ENSMUSG00000095019		
ENSMUSG00000095666	ENSG00000204479	0
ENSMUSG00000095666	ENSG00000116726	0
ENSMUSG00000095666	ENSG00000116721	0
ENSMUSG00000095666	ENSG00000204480	0
ENSMUSG00000095666	ENSG00000204478	0
ENSMUSG00000095666	ENSG00000232423	0
ENSMUSG00000095666	ENSG00000279804	0
ENSMUSG00000095666	ENSG00000187545	0
ENSMUSG00000095666	ENSG00000120952	0
ENSMUSG00000095666	ENSG00000237700	0
ENSMUSG00000095666	ENSG00000239810	0
ENSMUSG00000095666	ENSG00000280267	0
ENSMUSG00000095666	ENSG00000204505	0
ENSMUSG00000095666	ENSG00000279169	0
ENSMUSG00000095666	ENSG00000270601	0
ENSMUSG00000095666	ENSG00000243073	0
ENSMUSG00000095666	ENSG00000229571	0
ENSMUSG00000095666	ENSG00000204481	0
ENSMUSG00000095666	ENSG00000182330	0
ENSMUSG00000095666	ENSG00000204501	0
ENSMUSG00000095666	ENSG00000274764	0
ENSMUSG00000095666	ENSG00000204510	0
ENSMUSG00000094303	ENSG00000204479	0
ENSMUSG00000094303	ENSG00000116726	0
ENSMUSG00000094303	ENSG00000116721	0
ENSMUSG00000094303	ENSG00000204480	0
ENSMUSG00000094303	ENSG00000204478	0
ENSMUSG00000094303	ENSG00000232423	0
ENSMUSG00000094303	ENSG00000279804	0
ENSMUSG00000094303	ENSG00000187545	0
ENSMUSG00000094303	ENSG00000120952	0
ENSMUSG00000094303	ENSG00000237700	0
ENSMUSG00000094303	ENSG00000239810	0
ENSMUSG00000094303	ENSG00000280267	0
ENSMUSG00000094303	ENSG00000204505	0
ENSMUSG00000094303	ENSG00000279169	0
ENSMUSG00000094303	ENSG00000270601	0
ENSMUSG00000094303	ENSG00000243073	0
ENSMUSG00000094303	ENSG00000229571	0
ENSMUSG00000094303	ENSG00000204481	0
ENSMUSG00000094303	ENSG00000182330	0
ENSMUSG00000094303	ENSG00000204501	0
ENSMUSG00000094303	ENSG00000274764	0
ENSMUSG00000094303	ENSG00000204510	0
ENSMUSG00000094915	ENSG00000067066	0
ENSMUSG00000095041	ENSG00000241878	0
ENSMUSG00000095250	ENSG00000135899	0
ENSMUSG00000079800		
ENSMUSG00000079222		
ENSMUSG00000094836	ENSG00000204479	0
ENSMUSG00000094836	ENSG00000116726	0
ENSMUSG00000094836	ENSG00000116721	0
ENSMUSG00000094836	ENSG00000204480	0
ENSMUSG00000094836	ENSG00000204478	0
ENSMUSG00000094836	ENSG00000232423	0
ENSMUSG00000094836	ENSG00000279804	0
ENSMUSG00000094836	ENSG00000187545	0
ENSMUSG00000094836	ENSG00000120952	0
ENSMUSG00000094836	ENSG00000237700	0
